ID,Item_Name,Brand,Model,Category,Year_of_Purchase,Condition,Quantity,Weight_kg,Recycle_Method,Location,Recycling_Facility,Collection_Date,End_Use,Recycled_Price_USD,Toxic_Components,E-Waste_Collector,Carbon_Footprint,Exported_To
8631,Headphone,LG,LG Model 434,Mobile,2010,Working,3,11.05,Automated,London,Facility B,2024-10-20,E-Waste Disposal,131.68,Cadmium,E-Waste Inc.,3.14,India
3577,Headphone,LG,LG Model 278,Laptop,2022,Broken,5,11.55,Manual,Mumbai,Facility D,2024-02-15,Parts for Electronics,81.23,Cadmium,EcoWaste Solutions,6.57,China
3014,Smartphone,Panasonic,Panasonic Model 565,Appliance,2012,Working,5,0.54,Manual,Mumbai,Facility C,2024-06-02,Raw Materials,108.01,Mercury,EcoWaste Solutions,9.68,Brazil
5829,Headphone,HP,HP Model 179,Mobile,2015,Working,3,1.89,Both,Mumbai,Facility B,2024-06-06,E-Waste Disposal,161.37,None,EcoWaste Solutions,17.16,USA
957,Headphone,LG,LG Model 113,TV,2010,Partially Working,4,17.45,Manual,New York,Facility B,2023-12-18,Parts for Electronics,6.77,Mercury,Green Electronics,15.35,Germany
7785,Smartphone,Samsung,Samsung Model 508,TV,2014,Partially Working,1,9.11,Automated,Berlin,Facility D,2024-10-13,Raw Materials,157.83,Cadmium,Green Electronics,18.86,Germany
8475,Headphone,HP,HP Model 948,Mobile,2010,Broken,5,16.92,Automated,London,Facility C,2024-11-02,Parts for Electronics,67.23,Mercury,Green Electronics,18.56,Brazil
626,Washing Machine,Dell,Dell Model 539,TV,2012,Partially Working,1,10.17,Manual,New York,Facility B,2023-12-29,E-Waste Disposal,46.73,None,E-Waste Inc.,3.87,USA
2722,Air Conditioner,Samsung,Samsung Model 815,Laptop,2018,Working,2,13.04,Both,Mumbai,Facility B,2024-05-31,Raw Materials,69.73,Cadmium,Green Electronics,10.5,China
5049,Refrigerator,Samsung,Samsung Model 342,Mobile,2019,Broken,1,4.34,Both,Mumbai,Facility A,2024-07-02,E-Waste Disposal,148.29,None,E-Waste Inc.,18.65,India
1261,Air Conditioner,Panasonic,Panasonic Model 782,Appliance,2016,Working,4,18.29,Both,New York,Facility A,2024-02-27,Parts for Electronics,159.53,Cadmium,EcoWaste Solutions,15.65,China
7717,Headphone,HP,HP Model 163,Laptop,2012,Broken,3,17.56,Manual,Berlin,Facility C,2024-03-10,E-Waste Disposal,92.37,None,Green Electronics,10.51,Germany
2539,Air Conditioner,LG,LG Model 247,Mobile,2019,Working,2,8.07,Manual,Shanghai,Facility A,2024-09-24,Parts for Electronics,149.01,Lead,EcoWaste Solutions,17.52,India
4026,TV,Xiaomi,Xiaomi Model 531,Appliance,2020,Broken,3,16.06,Automated,London,Facility C,2024-06-20,E-Waste Disposal,47.72,Cadmium,EcoWaste Solutions,18.19,China
5515,Smartphone,LG,LG Model 815,Laptop,2010,Broken,4,1.29,Manual,New York,Facility D,2024-08-21,Raw Materials,20.09,Cadmium,EcoWaste Solutions,2.8,Brazil
1343,Laptop,Xiaomi,Xiaomi Model 659,Appliance,2021,Broken,1,14.95,Automated,Shanghai,Facility C,2024-08-16,E-Waste Disposal,108.7,Cadmium,E-Waste Inc.,15.42,India
3346,Headphone,Samsung,Samsung Model 922,Appliance,2017,Broken,3,14.22,Manual,London,Facility A,2023-12-10,Parts for Electronics,170.03,Mercury,E-Waste Inc.,19.29,China
6134,Laptop,Apple,Apple Model 273,Appliance,2019,Broken,4,16.93,Manual,London,Facility D,2024-03-23,Parts for Electronics,193.1,Cadmium,E-Waste Inc.,11.05,Germany
4118,Air Conditioner,Samsung,Samsung Model 324,Appliance,2022,Partially Working,1,4.42,Automated,London,Facility C,2024-05-22,E-Waste Disposal,71.35,Lead,Green Electronics,18.71,Brazil
8094,Headphone,Sony,Sony Model 598,Laptop,2020,Working,5,18.56,Both,Berlin,Facility C,2024-05-16,Raw Materials,56.67,Mercury,E-Waste Inc.,6.32,India
5572,Washing Machine,Xiaomi,Xiaomi Model 393,Laptop,2011,Working,5,6.37,Both,Shanghai,Facility A,2024-04-23,E-Waste Disposal,127.57,None,E-Waste Inc.,19.95,Brazil
9470,Headphone,Apple,Apple Model 714,Laptop,2012,Partially Working,4,4.88,Both,New York,Facility B,2024-08-02,Raw Materials,175.07,None,EcoWaste Solutions,16.33,Germany
5176,Washing Machine,Xiaomi,Xiaomi Model 309,Mobile,2014,Working,3,4.18,Manual,New York,Facility A,2024-04-17,Parts for Electronics,56.43,Cadmium,Green Electronics,4.63,China
9923,Smartphone,Sony,Sony Model 649,Mobile,2012,Working,1,13.05,Both,London,Facility C,2024-08-14,Raw Materials,104.68,None,EcoWaste Solutions,7.11,USA
3426,Air Conditioner,Apple,Apple Model 518,Laptop,2023,Working,1,18.15,Automated,New York,Facility C,2024-05-13,Parts for Electronics,86.24,Cadmium,EcoWaste Solutions,2.28,China
2750,Washing Machine,LG,LG Model 646,Mobile,2016,Partially Working,2,5.39,Manual,Shanghai,Facility D,2024-10-09,E-Waste Disposal,57.49,Lead,EcoWaste Solutions,12.97,Germany
4484,Refrigerator,Xiaomi,Xiaomi Model 823,Mobile,2016,Partially Working,3,9.82,Manual,New York,Facility B,2023-12-14,Raw Materials,197.48,Cadmium,Green Electronics,17.84,Germany
520,Laptop,Xiaomi,Xiaomi Model 462,Laptop,2016,Partially Working,5,12.33,Manual,Dhaka,Facility B,2023-11-21,Raw Materials,31.34,Lead,E-Waste Inc.,1.52,Brazil
291,Smartphone,Apple,Apple Model 419,Laptop,2016,Broken,3,4.67,Automated,Mumbai,Facility B,2024-09-08,E-Waste Disposal,65.13,Lead,E-Waste Inc.,5.95,Brazil
3138,TV,Xiaomi,Xiaomi Model 759,Mobile,2011,Partially Working,1,18.28,Both,New York,Facility C,2024-01-25,Parts for Electronics,38.86,Mercury,EcoWaste Solutions,19.75,India
2709,Washing Machine,Sony,Sony Model 413,Appliance,2012,Partially Working,4,5.57,Automated,Berlin,Facility D,2024-06-06,E-Waste Disposal,117.6,Mercury,E-Waste Inc.,1.34,China
4012,Microwave,HP,HP Model 833,TV,2021,Working,3,15.43,Both,Dhaka,Facility A,2024-08-09,E-Waste Disposal,196.06,Cadmium,EcoWaste Solutions,13.14,India
7344,Laptop,Panasonic,Panasonic Model 653,Laptop,2023,Broken,2,12.18,Manual,Dhaka,Facility B,2023-12-26,Parts for Electronics,54.21,None,E-Waste Inc.,9.25,USA
1795,Headphone,Xiaomi,Xiaomi Model 841,Laptop,2020,Partially Working,2,14.86,Manual,Berlin,Facility D,2024-08-17,E-Waste Disposal,76.2,None,EcoWaste Solutions,6.11,Germany
2883,Microwave,LG,LG Model 734,Mobile,2022,Broken,5,13.27,Manual,Berlin,Facility C,2024-03-27,Raw Materials,24.68,Cadmium,Green Electronics,8.57,Brazil
502,Washing Machine,LG,LG Model 217,TV,2021,Working,3,1.79,Manual,New York,Facility C,2024-06-15,E-Waste Disposal,153.21,None,E-Waste Inc.,3.6,Brazil
9589,Headphone,Panasonic,Panasonic Model 207,Laptop,2012,Broken,4,9.14,Automated,Dhaka,Facility A,2024-10-30,Raw Materials,152.6,Lead,E-Waste Inc.,2.3,USA
3354,Headphone,HP,HP Model 927,TV,2022,Broken,5,5.37,Automated,Dhaka,Facility C,2024-11-07,E-Waste Disposal,53.01,Lead,Green Electronics,7.16,China
8175,Refrigerator,Xiaomi,Xiaomi Model 432,Appliance,2012,Working,5,5.01,Both,Berlin,Facility D,2024-05-02,Raw Materials,152.37,Cadmium,E-Waste Inc.,4.34,China
2766,Microwave,Sony,Sony Model 851,Mobile,2011,Partially Working,5,8.02,Both,Dhaka,Facility C,2024-06-18,E-Waste Disposal,34.93,None,EcoWaste Solutions,10.52,Brazil
6762,Laptop,Xiaomi,Xiaomi Model 601,Mobile,2022,Broken,4,6.04,Automated,Shanghai,Facility A,2024-09-13,E-Waste Disposal,35.35,Lead,E-Waste Inc.,15.99,Germany
8171,Smartphone,Samsung,Samsung Model 555,Appliance,2023,Working,2,12.62,Manual,Dhaka,Facility D,2024-02-16,E-Waste Disposal,98.11,None,Green Electronics,10.16,China
3630,Microwave,Apple,Apple Model 342,Laptop,2011,Broken,1,17.66,Both,London,Facility A,2024-08-23,Parts for Electronics,59.6,Cadmium,E-Waste Inc.,18.1,India
6723,Smartphone,LG,LG Model 444,Appliance,2019,Working,5,10.55,Manual,New York,Facility D,2024-01-09,Parts for Electronics,109.99,Lead,E-Waste Inc.,9.69,USA
4658,Smartphone,Samsung,Samsung Model 464,TV,2011,Broken,2,13.85,Manual,Berlin,Facility B,2024-01-14,E-Waste Disposal,97.68,None,E-Waste Inc.,6.3,Germany
4100,Washing Machine,LG,LG Model 133,Appliance,2020,Broken,5,17.59,Both,Mumbai,Facility A,2024-02-22,Raw Materials,133.07,Cadmium,EcoWaste Solutions,2.38,USA
3792,Washing Machine,HP,HP Model 995,Laptop,2023,Working,3,7.08,Manual,Berlin,Facility A,2024-10-24,Raw Materials,31.19,Lead,EcoWaste Solutions,6.65,China
1892,Washing Machine,Apple,Apple Model 784,TV,2011,Partially Working,5,8.2,Automated,New York,Facility C,2024-03-25,E-Waste Disposal,152.14,None,Green Electronics,15.98,China
1869,TV,Sony,Sony Model 315,Appliance,2021,Partially Working,1,16.22,Automated,Berlin,Facility D,2024-08-07,E-Waste Disposal,100.02,Lead,Green Electronics,17.48,China
4270,TV,Xiaomi,Xiaomi Model 737,Appliance,2014,Working,3,15.24,Both,London,Facility B,2023-12-08,Raw Materials,104.41,Mercury,Green Electronics,1.92,Germany
6864,Washing Machine,HP,HP Model 930,Mobile,2013,Working,2,16.93,Automated,Mumbai,Facility C,2024-01-30,Raw Materials,6.19,Lead,EcoWaste Solutions,12.36,Brazil
1556,Washing Machine,Xiaomi,Xiaomi Model 113,Mobile,2011,Working,3,6.95,Automated,London,Facility A,2023-12-01,Parts for Electronics,36.92,Cadmium,EcoWaste Solutions,4.05,Brazil
4797,Microwave,Panasonic,Panasonic Model 885,Laptop,2016,Partially Working,1,3.98,Automated,Shanghai,Facility A,2024-03-13,Raw Materials,120.78,Lead,EcoWaste Solutions,10.7,USA
7036,Headphone,Panasonic,Panasonic Model 944,Appliance,2023,Broken,4,11.93,Automated,Dhaka,Facility A,2024-07-23,Raw Materials,22.4,None,E-Waste Inc.,16.39,USA
4577,Headphone,Samsung,Samsung Model 760,TV,2022,Partially Working,1,6.47,Both,Mumbai,Facility D,2024-05-21,Raw Materials,54.24,None,E-Waste Inc.,10.3,Brazil
2289,Washing Machine,Apple,Apple Model 542,Laptop,2014,Partially Working,2,13.53,Automated,Dhaka,Facility C,2024-03-29,E-Waste Disposal,147.18,None,EcoWaste Solutions,18.85,Brazil
5018,Headphone,Sony,Sony Model 446,TV,2022,Broken,3,8.65,Automated,Berlin,Facility C,2024-03-16,Raw Materials,77.86,Cadmium,Green Electronics,14.65,Germany
2675,Headphone,HP,HP Model 284,Laptop,2023,Working,1,0.94,Automated,Mumbai,Facility B,2024-07-03,E-Waste Disposal,194.64,Cadmium,Green Electronics,13.09,India
9422,Laptop,Samsung,Samsung Model 339,Laptop,2022,Broken,1,3.16,Both,Mumbai,Facility D,2023-12-16,Parts for Electronics,145.36,None,E-Waste Inc.,14.19,Germany
3262,Headphone,Sony,Sony Model 136,Appliance,2011,Partially Working,4,5.57,Manual,London,Facility D,2024-05-23,Raw Materials,20.83,None,E-Waste Inc.,13.84,Germany
8557,Washing Machine,Dell,Dell Model 905,Appliance,2010,Broken,3,15.77,Automated,Mumbai,Facility A,2024-08-29,Parts for Electronics,164.78,Mercury,EcoWaste Solutions,6.99,Germany
5654,TV,HP,HP Model 304,TV,2022,Broken,2,1.72,Automated,New York,Facility A,2024-05-19,Parts for Electronics,38.86,Mercury,E-Waste Inc.,17.09,India
5034,Refrigerator,Apple,Apple Model 487,Appliance,2020,Working,5,9.53,Both,Shanghai,Facility A,2024-04-20,E-Waste Disposal,151.8,Mercury,E-Waste Inc.,5.25,India
8428,Laptop,Xiaomi,Xiaomi Model 727,Laptop,2015,Partially Working,5,9.59,Manual,Dhaka,Facility A,2024-06-18,Raw Materials,128.41,None,Green Electronics,6.28,USA
4812,Air Conditioner,Xiaomi,Xiaomi Model 879,Mobile,2012,Partially Working,4,14.83,Automated,New York,Facility B,2024-10-21,Parts for Electronics,31.56,Mercury,E-Waste Inc.,5.47,India
9881,Smartphone,Panasonic,Panasonic Model 403,TV,2019,Working,2,7.68,Both,Dhaka,Facility C,2024-04-11,Parts for Electronics,174.58,Cadmium,EcoWaste Solutions,18.64,India
4871,Washing Machine,Panasonic,Panasonic Model 913,TV,2013,Broken,2,12.82,Automated,London,Facility D,2024-09-10,E-Waste Disposal,190.27,None,EcoWaste Solutions,16.6,China
2384,TV,LG,LG Model 776,TV,2014,Partially Working,2,17.96,Manual,Shanghai,Facility C,2024-01-28,E-Waste Disposal,73.16,None,Green Electronics,4.58,Brazil
174,Smartphone,HP,HP Model 615,Laptop,2015,Broken,1,11.37,Both,Mumbai,Facility C,2024-09-05,E-Waste Disposal,17.92,None,Green Electronics,7.09,USA
6612,Smartphone,LG,LG Model 901,Mobile,2021,Working,3,6.29,Both,Mumbai,Facility A,2024-04-19,E-Waste Disposal,96.22,None,Green Electronics,17.15,Brazil
10,Laptop,Samsung,Samsung Model 107,Appliance,2016,Partially Working,5,13.89,Both,Berlin,Facility B,2024-05-14,E-Waste Disposal,91.01,Mercury,E-Waste Inc.,5.3,China
2488,Smartphone,Apple,Apple Model 942,TV,2017,Broken,1,9.47,Automated,Mumbai,Facility B,2024-06-03,E-Waste Disposal,176.6,Mercury,Green Electronics,3.66,USA
6921,TV,Samsung,Samsung Model 436,Appliance,2018,Broken,1,18.7,Manual,Shanghai,Facility A,2024-07-09,Parts for Electronics,83.86,Lead,Green Electronics,6.52,China
27,Laptop,Apple,Apple Model 357,TV,2014,Partially Working,1,1.92,Both,New York,Facility B,2024-01-20,Parts for Electronics,129.53,Cadmium,Green Electronics,19.63,Germany
4537,Washing Machine,Xiaomi,Xiaomi Model 522,Mobile,2021,Broken,5,18.08,Both,London,Facility A,2024-07-28,E-Waste Disposal,66.94,None,EcoWaste Solutions,16.66,India
7660,Laptop,Xiaomi,Xiaomi Model 192,Mobile,2017,Working,4,5.85,Manual,Berlin,Facility B,2024-09-09,Raw Materials,197.53,Cadmium,E-Waste Inc.,8.12,Brazil
9768,Washing Machine,Panasonic,Panasonic Model 629,Appliance,2011,Working,4,11.86,Automated,New York,Facility D,2024-02-15,Raw Materials,68.07,None,EcoWaste Solutions,11.33,India
3070,Washing Machine,Sony,Sony Model 336,Laptop,2013,Partially Working,1,6.12,Both,Berlin,Facility A,2024-11-06,Parts for Electronics,53.75,Mercury,Green Electronics,16.75,India
7749,TV,Dell,Dell Model 442,TV,2013,Partially Working,4,1.71,Manual,Dhaka,Facility B,2023-12-25,E-Waste Disposal,60.48,Cadmium,E-Waste Inc.,13.6,China
7894,TV,HP,HP Model 116,Mobile,2023,Working,4,8.45,Manual,London,Facility A,2024-10-30,Raw Materials,88.06,Mercury,Green Electronics,4.21,China
3950,Washing Machine,Apple,Apple Model 950,TV,2011,Broken,2,11.52,Both,London,Facility B,2024-04-26,Parts for Electronics,127.01,Lead,Green Electronics,9.62,India
2,Laptop,Dell,Dell Model 156,Laptop,2012,Broken,2,19.62,Both,Mumbai,Facility B,2024-06-01,Raw Materials,89.71,None,EcoWaste Solutions,14.17,USA
6374,Laptop,LG,LG Model 964,Mobile,2016,Broken,1,4.93,Both,New York,Facility A,2024-05-16,E-Waste Disposal,36.58,Cadmium,E-Waste Inc.,17.9,India
7978,Washing Machine,HP,HP Model 513,Appliance,2021,Working,2,1.23,Automated,Shanghai,Facility C,2024-04-10,Parts for Electronics,151.62,Lead,Green Electronics,6.86,Germany
5057,TV,HP,HP Model 262,Mobile,2010,Broken,3,17.95,Manual,Shanghai,Facility C,2024-07-19,Raw Materials,45.82,Mercury,E-Waste Inc.,15.66,India
4085,TV,Samsung,Samsung Model 236,Mobile,2011,Partially Working,4,16.07,Manual,Shanghai,Facility D,2024-03-03,Parts for Electronics,83.74,Lead,E-Waste Inc.,2.22,India
8101,Smartphone,Xiaomi,Xiaomi Model 983,Mobile,2021,Broken,3,1.22,Both,Shanghai,Facility A,2024-05-11,E-Waste Disposal,162.14,Cadmium,E-Waste Inc.,19.79,Brazil
7229,TV,Xiaomi,Xiaomi Model 594,Mobile,2017,Partially Working,2,4.77,Automated,Mumbai,Facility A,2024-08-05,Parts for Electronics,64.38,None,E-Waste Inc.,16.33,USA
3734,Smartphone,Dell,Dell Model 294,Appliance,2018,Working,1,6.21,Both,Berlin,Facility A,2024-06-01,Raw Materials,133.8,Lead,EcoWaste Solutions,12.74,Germany
4929,Smartphone,Xiaomi,Xiaomi Model 962,Appliance,2017,Partially Working,5,2.35,Both,Mumbai,Facility A,2024-01-30,Raw Materials,157.56,Cadmium,Green Electronics,11.0,USA
2443,Microwave,Apple,Apple Model 472,Appliance,2017,Partially Working,2,9.93,Automated,Mumbai,Facility C,2023-12-31,Parts for Electronics,33.05,Mercury,EcoWaste Solutions,6.67,Germany
7974,Smartphone,Apple,Apple Model 435,TV,2023,Partially Working,3,19.72,Both,Mumbai,Facility C,2024-08-17,E-Waste Disposal,110.96,Cadmium,Green Electronics,17.18,Germany
9950,Headphone,LG,LG Model 507,Appliance,2013,Broken,4,18.55,Automated,Dhaka,Facility A,2024-10-03,Raw Materials,56.41,Lead,EcoWaste Solutions,15.12,India
4427,Washing Machine,Xiaomi,Xiaomi Model 527,Mobile,2010,Working,3,16.31,Automated,New York,Facility D,2024-05-27,E-Waste Disposal,34.62,None,EcoWaste Solutions,3.57,China
1034,Headphone,Samsung,Samsung Model 851,Laptop,2016,Working,5,19.38,Automated,London,Facility B,2024-03-23,Parts for Electronics,24.39,None,Green Electronics,7.01,Brazil
6906,Microwave,LG,LG Model 802,Mobile,2010,Partially Working,5,16.36,Both,Mumbai,Facility B,2024-01-09,Parts for Electronics,43.35,Lead,EcoWaste Solutions,15.79,Germany
5429,Refrigerator,HP,HP Model 552,TV,2016,Broken,1,10.02,Automated,Berlin,Facility C,2023-11-23,Raw Materials,51.56,Lead,Green Electronics,13.23,China
4756,Headphone,Samsung,Samsung Model 900,Mobile,2016,Broken,2,7.1,Manual,New York,Facility A,2023-12-09,E-Waste Disposal,19.22,None,E-Waste Inc.,13.33,India
6746,Washing Machine,HP,HP Model 403,Mobile,2018,Broken,1,7.37,Manual,Berlin,Facility C,2023-12-13,Parts for Electronics,110.9,None,E-Waste Inc.,4.23,USA
8855,Microwave,Dell,Dell Model 873,Appliance,2014,Broken,5,14.41,Manual,Mumbai,Facility D,2024-10-22,Parts for Electronics,85.26,Cadmium,Green Electronics,15.29,China
9702,Washing Machine,Sony,Sony Model 566,TV,2014,Partially Working,5,14.98,Manual,Dhaka,Facility A,2024-04-30,Raw Materials,150.0,Lead,EcoWaste Solutions,1.54,USA
5468,Laptop,Dell,Dell Model 188,TV,2016,Working,5,14.64,Manual,London,Facility C,2024-11-01,Parts for Electronics,106.44,None,EcoWaste Solutions,16.09,Germany
9284,Washing Machine,Xiaomi,Xiaomi Model 529,TV,2020,Working,4,10.29,Both,New York,Facility A,2024-08-18,Raw Materials,21.3,Cadmium,E-Waste Inc.,3.93,Germany
2919,Headphone,Panasonic,Panasonic Model 611,Appliance,2012,Partially Working,4,6.68,Manual,London,Facility C,2024-06-29,E-Waste Disposal,104.97,Lead,EcoWaste Solutions,15.39,USA
475,Refrigerator,HP,HP Model 328,Appliance,2012,Working,5,10.79,Both,Dhaka,Facility A,2024-03-10,E-Waste Disposal,171.96,Mercury,E-Waste Inc.,5.37,Germany
6081,Headphone,Dell,Dell Model 526,Appliance,2021,Partially Working,1,1.82,Both,Shanghai,Facility D,2024-06-25,Raw Materials,178.7,Cadmium,Green Electronics,6.76,Brazil
2440,Laptop,Apple,Apple Model 267,TV,2012,Working,4,12.63,Manual,Berlin,Facility A,2024-03-14,Raw Materials,109.11,Mercury,E-Waste Inc.,5.74,Brazil
7250,Washing Machine,Panasonic,Panasonic Model 654,Appliance,2021,Partially Working,3,14.69,Automated,Shanghai,Facility B,2023-12-23,Raw Materials,174.18,Lead,Green Electronics,15.67,India
711,Refrigerator,Dell,Dell Model 719,Appliance,2013,Broken,4,12.02,Automated,London,Facility D,2024-09-05,Parts for Electronics,58.59,Mercury,EcoWaste Solutions,17.76,Germany
4713,Refrigerator,Samsung,Samsung Model 160,Mobile,2020,Broken,5,19.66,Both,New York,Facility A,2024-09-25,E-Waste Disposal,29.51,Cadmium,Green Electronics,2.75,USA
178,Laptop,Samsung,Samsung Model 543,Appliance,2022,Partially Working,4,16.23,Manual,London,Facility C,2024-03-13,Raw Materials,74.9,Cadmium,EcoWaste Solutions,7.11,USA
5735,TV,Samsung,Samsung Model 712,Appliance,2013,Partially Working,4,14.44,Manual,London,Facility C,2024-04-11,E-Waste Disposal,126.83,None,EcoWaste Solutions,16.66,USA
4364,Microwave,LG,LG Model 521,Laptop,2012,Broken,3,6.64,Both,New York,Facility A,2024-07-26,Parts for Electronics,191.77,Lead,EcoWaste Solutions,4.83,USA
3032,Air Conditioner,Apple,Apple Model 466,Laptop,2021,Working,5,7.61,Both,Mumbai,Facility D,2024-11-19,Parts for Electronics,139.34,Lead,EcoWaste Solutions,15.74,Germany
3069,Headphone,Xiaomi,Xiaomi Model 709,Mobile,2015,Partially Working,2,3.07,Manual,Berlin,Facility C,2024-01-16,Parts for Electronics,60.1,Mercury,E-Waste Inc.,17.26,Brazil
8371,TV,Samsung,Samsung Model 532,Laptop,2015,Broken,5,13.62,Both,Shanghai,Facility C,2024-05-07,Raw Materials,183.63,None,EcoWaste Solutions,9.38,USA
5272,Washing Machine,Apple,Apple Model 609,Appliance,2019,Partially Working,5,10.69,Automated,Mumbai,Facility D,2024-05-16,Parts for Electronics,91.84,Cadmium,EcoWaste Solutions,1.55,USA
8319,Air Conditioner,Panasonic,Panasonic Model 884,Appliance,2015,Broken,1,19.42,Manual,Shanghai,Facility B,2024-07-30,E-Waste Disposal,52.74,Mercury,Green Electronics,8.24,Germany
3988,Refrigerator,Apple,Apple Model 664,Laptop,2019,Working,2,15.46,Manual,Berlin,Facility B,2024-08-16,E-Waste Disposal,41.16,None,Green Electronics,5.26,China
736,Air Conditioner,Samsung,Samsung Model 194,Laptop,2017,Broken,2,3.08,Automated,Shanghai,Facility D,2024-09-04,E-Waste Disposal,74.79,None,E-Waste Inc.,14.05,India
4333,Refrigerator,LG,LG Model 565,Mobile,2019,Working,1,14.24,Manual,Dhaka,Facility A,2024-02-03,Raw Materials,178.32,Lead,Green Electronics,5.44,Germany
3891,Air Conditioner,HP,HP Model 965,TV,2022,Working,5,11.81,Both,London,Facility A,2024-01-28,Raw Materials,6.47,Mercury,E-Waste Inc.,7.6,USA
